,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escapeRange,Wolves,Sheep
57,5,0,20,20,20,100,150,0.04,0.05,20,True,30,4,1,159,0
58,5,0,30,20,20,100,150,0.04,0.05,20,True,30,4,1,73,0
59,5,0,40,20,20,100,150,0.04,0.05,20,True,30,4,1,31,0
60,5,0,50,20,20,100,150,0.04,0.05,20,True,30,4,1,7,0
61,5,0,60,20,20,100,150,0.04,0.05,20,True,30,4,1,3,0
62,5,0,70,20,20,100,150,0.04,0.05,20,True,30,4,1,1,0
63,5,0,80,20,20,100,150,0.04,0.05,20,True,30,4,1,0,0
64,5,0,90,20,20,100,150,0.04,0.05,20,True,30,4,1,0,0
65,5,0,100,20,20,100,150,0.04,0.05,20,True,30,4,1,0,0
66,6,0,0,20,20,50,150,0.04,0.05,20,True,30,4,1,150,50
67,6,0,10,20,20,50,150,0.04,0.05,20,True,30,4,1,157,1
68,6,0,20,20,20,50,150,0.04,0.05,20,True,30,4,1,105,0
69,6,0,30,20,20,50,150,0.04,0.05,20,True,30,4,1,34,0
70,6,0,40,20,20,50,150,0.04,0.05,20,True,30,4,1,11,0
71,6,0,50,20,20,50,150,0.04,0.05,20,True,30,4,1,4,0
72,6,0,60,20,20,50,150,0.04,0.05,20,True,30,4,1,3,0
73,6,0,70,20,20,50,150,0.04,0.05,20,True,30,4,1,1,0
74,6,0,80,20,20,50,150,0.04,0.05,20,True,30,4,1,0,0
75,6,0,90,20,20,50,150,0.04,0.05,20,True,30,4,1,0,0
76,6,0,100,20,20,50,150,0.04,0.05,20,True,30,4,1,0,0
77,7,0,0,20,20,150,50,0.04,0.05,20,True,30,4,1,50,150
78,7,0,10,20,20,150,50,0.04,0.05,20,True,30,4,1,75,30
79,7,0,20,20,20,150,50,0.04,0.05,20,True,30,4,1,96,2
80,7,0,30,20,20,150,50,0.04,0.05,20,True,30,4,1,82,0
