,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
105,9,0,60,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
106,9,0,70,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
107,9,0,80,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
108,9,0,90,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
109,9,0,100,20,20,0.04,0.05,20,True,30,4,150,150,0.25,0,0
110,10,1,0,20,20,0.04,0.05,20,True,30,4,50,100,0.25,100,50
111,10,1,10,20,20,0.04,0.05,20,True,30,4,50,100,0.25,98,22
112,10,1,20,20,20,0.04,0.05,20,True,30,4,50,100,0.25,59,12
113,10,1,30,20,20,0.04,0.05,20,True,30,4,50,100,0.25,23,3
114,10,1,40,20,20,0.04,0.05,20,True,30,4,50,100,0.25,11,3
115,10,1,50,20,20,0.04,0.05,20,True,30,4,50,100,0.25,1,3
116,10,1,60,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,3
117,10,1,70,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,5
118,10,1,80,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,10
119,10,1,90,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,11
120,10,1,100,20,20,0.04,0.05,20,True,30,4,50,100,0.25,0,17
121,11,1,0,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,100
122,11,1,10,20,20,0.04,0.05,20,True,30,4,100,50,0.25,50,39
123,11,1,20,20,20,0.04,0.05,20,True,30,4,100,50,0.25,43,8
124,11,1,30,20,20,0.04,0.05,20,True,30,4,100,50,0.25,16,3
125,11,1,40,20,20,0.04,0.05,20,True,30,4,100,50,0.25,3,3
126,11,1,50,20,20,0.04,0.05,20,True,30,4,100,50,0.25,4,2
127,11,1,60,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,2
128,11,1,70,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,2
129,11,1,80,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,2
130,11,1,90,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,4
131,11,1,100,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,4
132,12,1,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
133,12,1,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,178,15
134,12,1,20,20,20,0.04,0.05,20,True,30,4,50,150,0.25,84,8
135,12,1,30,20,20,0.04,0.05,20,True,30,4,50,150,0.25,24,3
136,12,1,40,20,20,0.04,0.05,20,True,30,4,50,150,0.25,1,3
137,12,1,50,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,7
138,12,1,60,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,9
139,12,1,70,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,8
140,12,1,80,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,10
141,12,1,90,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,14
142,12,1,100,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,20
143,13,1,0,20,20,0.04,0.05,20,True,30,4,150,50,0.25,50,150
144,13,1,10,20,20,0.04,0.05,20,True,30,4,150,50,0.25,53,47
145,13,1,20,20,20,0.04,0.05,20,True,30,4,150,50,0.25,40,6
