,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escape_range,escaped,total_attacks,Wolves,Sheep,Escaped
111,1,0,250,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,43,116
112,1,0,255,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,42,116
113,1,0,260,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,37,116
114,1,0,265,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,38,116
115,1,0,270,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,36,116
116,1,0,275,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,28,116
117,1,0,280,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,28,116
118,1,0,285,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,23,116
119,1,0,290,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,27,116
120,1,0,295,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,27,116
121,1,0,300,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,31,116
122,2,0,0,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,100,100,0
123,2,0,5,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,94,66,101
124,2,0,10,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,90,31,149
125,2,0,15,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,66,14,167
126,2,0,20,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,39,8,171
127,2,0,25,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,23,8,174
128,2,0,30,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,7,6,175
129,2,0,35,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,4,7,177
130,2,0,40,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,8,177
131,2,0,45,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,10,177
132,2,0,50,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,11,177
133,2,0,55,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,13,177
134,2,0,60,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,14,177
135,2,0,65,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,15,177
136,2,0,70,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,16,177
137,2,0,75,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,17,177
138,2,0,80,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,22,177
139,2,0,85,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,25,177
140,2,0,90,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
141,2,0,95,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,33,177
142,2,0,100,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
143,2,0,105,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,40,177
144,2,0,110,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,44,177
145,2,0,115,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,47,177
146,2,0,120,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,45,177
147,2,0,125,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,34,177
148,2,0,130,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
149,2,0,135,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,28,177
150,2,0,140,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,26,177
151,2,0,145,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,29,177
152,2,0,150,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,25,177
153,2,0,155,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,25,177
154,2,0,160,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,29,177
155,2,0,165,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,32,177
156,2,0,170,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
157,2,0,175,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,38,177
158,2,0,180,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,37,177
159,2,0,185,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,35,177
160,2,0,190,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,36,177
161,2,0,195,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,42,177
162,2,0,200,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,49,177
163,2,0,205,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,39,177
164,2,0,210,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,36,177
165,2,0,215,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,30,177
166,2,0,220,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
167,2,0,225,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
168,2,0,230,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,29,177
169,2,0,235,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,28,177
170,2,0,240,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,26,177
171,2,0,245,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,28,177
172,2,0,250,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
173,2,0,255,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,28,177
174,2,0,260,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,26,177
175,2,0,265,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,29,177
176,2,0,270,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,32,177
177,2,0,275,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,31,177
178,2,0,280,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,36,177
179,2,0,285,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0,0,40,177
